Time,Lat,Lon,scPDSI
1021,49.25,14.5,1.234
1021,49.75,14.5,0.179
1021,50.25,14.5,1.373
1021,50.75,14.5,-1.673
1021,49.25,15,0.28
1021,49.75,15,0.02
1021,50.25,15,2.506
1021,50.75,15,-1.051
1021,49.25,15.5,0.725
1021,49.75,15.5,1.332
1021,50.25,15.5,4.761
1021,50.75,15.5,1.222
1021,49.25,16,-0.154
1021,49.75,16,1.466
1021,50.25,16,3.781
1021,50.75,16,2.552
1021,49.25,16.5,0.178
1021,49.75,16.5,0.499
1021,50.25,16.5,1.281
1021,50.75,16.5,3.206
1022,49.25,13.5,0.797
1022,49.75,13.5,0.75
1022,50.25,13.5,-3.176
1022,50.75,13.5,-2.143
1022,49.25,14,-2.081
1022,49.75,14,-1.497
1022,50.25,14,0.61
1022,50.75,14,-2.431
1022,49.25,14.5,0.235
1022,49.75,14.5,0.186
1022,50.25,14.5,1.04
1022,50.75,14.5,-1.479
1022,49.25,15,0.871
1022,49.75,15,0.852
1022,50.25,15,2.177
1022,50.75,15,-2.123
1022,49.25,15.5,1.732
1022,49.75,15.5,2.188
1022,50.25,15.5,2.684
1022,50.75,15.5,0.924
1022,49.25,16,1.034
1022,49.75,16,1.739
1022,50.25,16,2.139
1022,50.75,16,0.421
1022,49.25,16.5,1.064
1022,49.75,16.5,1.949
1022,50.25,16.5,1.908
1022,50.75,16.5,-0.304
1023,49.25,13.5,-0.679
1023,49.75,13.5,-1.426
1023,50.25,13.5,-2.363
1023,50.75,13.5,-1.028
1023,49.25,14,-1.072
1023,49.75,14,0.003
1023,50.25,14,-1.231
1023,50.75,14,-0.861
1023,49.25,14.5,-0.742
1023,49.75,14.5,0.167
1023,50.25,14.5,0.688
1023,50.75,14.5,-1.304
1023,49.25,15,0.68
1023,49.75,15,0.687
1023,50.25,15,0.913
1023,50.75,15,-0.925
1023,49.25,15.5,1.048
1023,49.75,15.5,1.038
1023,50.25,15.5,0.97
1023,50.75,15.5,0.093
1023,49.25,16,0.636
1023,49.75,16,1.042
1023,50.25,16,0.664
1023,50.75,16,-0.63
1023,49.25,16.5,1.331
1023,49.75,16.5,1.344
1023,50.25,16.5,0.697
1023,50.75,16.5,-0.601
1024,49.25,13.5,-1.32
1024,49.75,13.5,-0.818
1024,50.25,13.5,-3.013
1024,50.75,13.5,-1.388
1024,49.25,14,-1.103
1024,49.75,14,-0.726
1024,50.25,14,-2.97
1024,50.75,14,-0.659
1024,49.25,14.5,-1.167
1024,49.75,14.5,-0.857
1024,50.25,14.5,-0.735
1024,50.75,14.5,-1.176
1024,49.25,15,-0.304
1024,49.75,15,-0.503
1024,50.25,15,-0.434
1024,50.75,15,-1.252
1024,49.25,15.5,0.632
1024,49.75,15.5,-0.898
1024,50.25,15.5,-0.346
1024,50.75,15.5,-0.436
1024,49.25,16,-0.25
1024,49.75,16,-0.385
1024,50.25,16,-0.331
1024,50.75,16,-1.785
1024,49.25,16.5,0.266
1024,49.75,16.5,-0.354
1024,50.25,16.5,-0.531
1024,50.75,16.5,-1.1
1025,49.25,13.5,0.832
1025,49.75,13.5,-0.419
1025,50.25,13.5,-2.739
1025,50.75,13.5,-1.921
1025,49.25,14,-0.499
1025,49.75,14,-1.412
1025,50.25,14,-2.186
1025,50.75,14,-1.578
1025,49.25,14.5,-1.825
1025,49.75,14.5,-1.154
1025,50.25,14.5,-0.948
1025,50.75,14.5,-1.975
1025,49.25,15,0.078
1025,49.75,15,-0.226
1025,50.25,15,-1.105
1025,50.75,15,-2.157
1025,49.25,15.5,0.877
1025,49.75,15.5,-0.429
1025,50.25,15.5,0.184
1025,50.75,15.5,-1.312
1025,49.25,16,0.456
1025,49.75,16,-0.371
1025,50.25,16,-0.65
1025,50.75,16,-1.21
1025,49.25,16.5,0.887
1025,49.75,16.5,-0.781
1025,50.25,16.5,-1.272
1025,50.75,16.5,-1.239
1026,49.25,13.5,-0.672
1026,49.75,13.5,-1.717
1026,50.25,13.5,-5.067
1026,50.75,13.5,-4.082
1026,49.25,14,-2.426
1026,49.75,14,-1.727
1026,50.25,14,-1.544
1026,50.75,14,-3.514
1026,49.25,14.5,-1.598
1026,49.75,14.5,-2.283
1026,50.25,14.5,-1.24
1026,50.75,14.5,-2.905
1026,49.25,15,0.807
1026,49.75,15,-0.848
